Year,Rank,Model,Share (%)
2021,1,iPhone 12,2.9
2021,2,iPhone 12 Pro Max,2.2
2021,3,iPhone 13,2.1
2021,4,iPhone 12 Pro,2.1
2021,5,iPhone 11,2.0
2021,6,Galaxy A12,2.0
2021,7,Redmi 9A,1.9
2021,8,iPhone SE 2020,1.6
2021,9,iPhone 13 Pro Max,1.3
2021,10,Redmi 9,1.1
2022,1,iPhone 13,5.8
2022,2,iPhone 13 Pro Max,2.6
2022,3,iPhone 14 Pro Max,1.7
2022,4,Galaxy A13,1.6
2022,5,iPhone 13 Pro,1.6
2022,6,iPhone 12,1.5
2022,7,iPhone 14,1.4
2022,8,iPhone 14 Pro,1.2
2022,9,iPhone SE 2022,1.1
2022,10,Galaxy A03,1.1
2023,1,iPhone 14,3.5
2023,2,iPhone 14 Pro Max,2.4
2023,3,iPhone 14 Pro,2.4
2023,4,iPhone 13,2.2
2023,5,iPhone 15 Pro Max,1.7
2023,6,iPhone 15 Pro,1.6
2023,7,iPhone 15,1.6
2023,8,Galaxy A14 5G,1.6
2023,9,Galaxy A04e,1.3
2023,10,Galaxy A14 4G,1.2
