Year,Rank,Model,Share (%)
2021,1,Apple iPhone 12,2.9
2021,2,Apple iPhone 12 Pro Max,2.2
2021,3,Apple iPhone 13,2.1
2021,4,Apple iPhone 12 Pro,2.1
2021,5,Apple iPhone 11,2.0
2021,6,Samsung Galaxy A12,2.0
2021,7,Xiaomi Redmi 9A,1.9
2021,8,Apple iPhone SE 2020,1.6
2021,9,Apple iPhone 13 Pro Max,1.3
2021,10,Xiaomi Redmi 9,1.1
2022,1,Apple iPhone 13,5.8
2022,2,Apple iPhone 13 Pro Max,2.6
2022,3,Apple iPhone 14 Pro Max,1.7
2022,4,Samsung Galaxy A13,1.6
2022,5,Apple iPhone 13 Pro,1.6
2022,6,Apple iPhone 12,1.5
2022,7,Apple iPhone 14,1.4
2022,8,Apple iPhone 14 Pro,1.2
2022,9,Apple iPhone SE 2022,1.1
2022,10,Samsung Galaxy A03,1.1
2023,1,Apple iPhone 14,3.5
2023,2,Apple iPhone 14 Pro Max,2.4
2023,3,Apple iPhone 14 Pro,2.4
2023,4,Apple iPhone 13,2.2
2023,5,Apple iPhone 15 Pro Max,1.7
2023,6,Apple iPhone 15 Pro,1.6
2023,7,Apple iPhone 15,1.6
2023,8,Samsung Galaxy A14 5G,1.6
2023,9,Samsung Galaxy A04e,1.3
2023,10,Samsung Galaxy A14 4G,1.2
