2022,Name,Country,2022 - USD,2022
1,Apple,"United States",355079.97,AAA
2,Samsung,"South Korea",89229.04,AAA
3,Huawei,China,71232.74,AAA-
4,"Dell Technologies","United States",22220,AA
5,"LG Group","South Korea",20792,AA+
6,Sony,Japan,19814.9,AAA-
7,Midea,China,10496.48,AA
8,HP,"United States",10066.34,AA+
9,Xiaomi,China,9931.02,AAA-
10,Panasonic,Japan,8767.33,AA
11,Canon,Japan,0,
12,PlayStation,Japan,0,
13,Gree,China,0,
14,Xbox,"United States",0,
15,Haier,China,0,
16,Philips,Netherlands,0,
17,Lenovo,China,0,
18,Hikvision,China,0,
19,BOE,China,0,
20,Goertek,China,0,
21,"Mitsubishi Electric",Japan,0,
22,Nintendo,Japan,0,
23,"Techtronic Industries",China,0,
24,"Western Digital","United States",0,
25,ZTE,China,0,
26,Kyocera,Japan,0,
27,Sharp,Japan,0,
28,"Quanta Computer",China,0,
29,Fujifilm,Japan,0,
30,Toshiba,Japan,0,
31,"Motorola Solutions","United States",0,
32,Sandisk,"United States",0,
33,Whirlpool,"United States",0,
34,Wii,Japan,0,
35,ASUS,China,0,
36,"Lens Technology",China,0,
37,OnePlus,China,0,
38,Seb,France,0,
39,Logitech,Switzerland,0,
40,Arçelik,Türkiye,0,
41,"TCL  CSOT",China,0,
42,Coway,"South Korea",0,
43,Acer,China,0,
44,"Brother Industries",Japan,0,
45,MSI,China,0,
46,Pegatron,China,0,
47,Ricoh,Japan,0,
48,Supor,China,0,
49,De'Longhi,Italy,0,
50,Electrolux,Sweden,0,
