2020,2019,Name,Country,2020 - USD,2019 - USD,2020,2019
1,1,Amazon,"United States",220790.75,187905.15,AAA,AAA-
2,3,Google,"United States",188511.64,142754.85,AAA,AAA
3,2,Apple,"United States",140524.32,153634.28,AAA,AAA
4,4,Microsoft,"United States",117072.01,119594.99,AAA,AAA
5,5,Facebook,"United States",79804.43,83201.5,AA+,AAA-
6,6,Samsung,"South Korea",77792.73,74908.72,AAA-,AAA
7,7,Huawei,China,65084.36,62278.16,AAA-,AAA-
8,8,WeChat,China,54146.08,50707.28,AAA+,AAA+
9,9,"Tencent (QQ)",China,44090.62,49701.06,AAA+,AAA
10,10,Taobao,China,36986.44,46627.98,AAA-,AAA-
11,13,IBM,"United States",0,0,,
12,12,Tmall,China,0,0,,
13,14,Intel,"United States",0,0,,
14,23,Instagram,"United States",0,0,,
15,15,accenture,"United States",0,0,,
16,16,Oracle,"United States",0,0,,
17,19,Cisco,"United States",0,0,,
18,20,Netflix,"United States",0,0,,
19,25,Alibaba.com,China,0,0,,
20,17,"Dell Technologies","United States",0,0,,
21,22,"LG Group","South Korea",0,0,,
22,24,SAP,Germany,0,0,,
23,11,YouTube,"United States",0,0,,
24,18,Uber,"United States",0,0,,
25,26,TCS,India,0,0,,
26,29,NetEase,China,0,0,,
27,32,JD.com,China,0,0,,
28,28,Sony,Japan,0,0,,
29,27,Midea,China,0,0,,
30,30,Panasonic,Japan,0,0,,
31,45,Airbnb,"United States",0,0,,
32,47,Salesforce,"United States",0,0,,
33,31,booking.com,"United States",0,0,,
34,35,Nokia,Finland,0,0,,
35,49,Gree,China,0,0,,
36,33,Canon,Japan,0,0,,
37,40,Adobe,"United States",0,0,,
38,34,HP,"United States",0,0,,
39,21,Baidu,China,0,0,,
40,38,3M,"United States",0,0,,
41,36,TSMC,China,0,0,,
42,39,Cognizant,"United States",0,0,,
43,43,"Yahoo! Group",Japan,0,0,,
44,37,eBay,"United States",0,0,,
45,59,LinkedIn,"United States",0,0,,
46,56,Haier,China,0,0,,
47,58,Playstation,Japan,0,0,,
48,51,Qualcomm,"United States",0,0,,
49,44,Broadcom,"United States",0,0,,
50,57,Infosys,India,0,0,,
51,46,Philips,Netherlands,0,0,,
52,42,Hikvision,China,0,0,,
53,61,Capgemini,France,0,0,,
54,48,Youku,China,0,0,,
55,54,Xiaomi,China,0,0,,
56,50,HPE,"United States",0,0,,
57,41,"SK Hynix","South Korea",0,0,,
58,64,"DXC Technology","United States",0,0,,
59,68,"Mitsubishi Electric",Japan,0,0,,
60,69,ctrip.com,China,0,0,,
61,66,"Micron Technology","United States",0,0,,
62,77,FIS,"United States",0,0,,
63,80,Xbox,"United States",0,0,,
64,52,Nintendo,Japan,0,0,,
65,60,Lenovo,China,0,0,,
66,70,VMWARE,"United States",0,0,,
67,53,"Activision Blizzard","United States",0,0,,
68,92,Rakuten,Japan,0,0,,
69,62,"Thermo Fisher Scientific","United States",0,0,,
70,74,"Ntt Data",Japan,0,0,,
71,63,"Western Digital","United States",0,0,,
72,72,HCL,India,0,0,,
73,55,Nvidia,"United States",0,0,,
74,67,"Texas Instruments","United States",0,0,,
75,65,"Emerson Electric","United States",0,0,,
76,91,ZTE,China,0,0,,
77,76,Fiserv,"United States",0,0,,
78,81,Wipro,India,0,0,,
79,71,"Applied Materials","United States",0,0,,
80,85,Spotify,Sweden,0,0,,
81,78,"Electronic Arts","United States",0,0,,
82,96,"Fujitsu Group",Japan,0,0,,
83,90,Twitter,"United States",0,0,,
84,87,"Samsung SDS","South Korea",0,0,,
85,84,Atos,France,0,0,,
86,79,Cerner,"United States",0,0,,
87,75,Sharp,Japan,0,0,,
88,98,Expedia.com,"United States",0,0,,
89,93,BOE,China,0,0,,
90,89,Naver,"South Korea",0,0,,
91,,CDW,"United States",0,NaN,,
92,,CGI,Canada,0,NaN,,
93,82,QVC,"United States",0,0,,
94,,Servicenow,"United States",0,NaN,,
95,86,Amadeus,Spain,0,0,,
96,94,ASML,Netherlands,0,0,,
97,88,Kyocera,Japan,0,0,,
98,100,Nidec,Japan,0,0,,
99,,Ericsson,Sweden,0,NaN,,
100,,"Red Hat","United States",0,NaN,,
