Ticker,Full Name,Sector,Sub-Industry,Founding Year (YF),Founded (Wiki),Date Added,Market Cap,Pricing Power,Gross Margins (latest→older)
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,,1978,1988-03-31,390091997184,1485.2872863592665,"[0.33874769612698574, 0.3375537928459609, 0.33860853986264555, 0.33943515682369985]"
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,,1904/1946/1959,1984-02-29,137233850368,1458.734690378184,"[0.3360661615316586, 0.336316380517962, 0.3345593917101969, 0.33533506493506493]"
COR,Cencora,Health Care,Health Care Distributors,,1985,2001-08-30,62950211584,1159.010980515822,"[0.033803729619761864, 0.03423854831716707, 0.03483973054257616, 0.03249160985463153]"
FDX,FedEx,Industrials,Air Freight & Logistics,,1971,1980-12-31,56110206976,684.9186219419161,"[0.21603393762937015, 0.2161175920540978, 0.2125894293161777, 0.21566216100607408]"
CAH,Cardinal Health,Health Care,Health Care Distributors,,1971,1997-05-27,37160308736,661.9307058233984,"[0.038161902793627404, 0.034563786498080035, 0.03552071187780212, 0.037788292908904404]"
ADSK,Autodesk,Information Technology,Application Software,,1982,1989-12-01,64679579648,591.4781087961666,"[0.9270918284129832, 0.9246861924686193, 0.926073926073926, 0.9293205654354765]"
SYY,Sysco,Consumer Staples,Food Distributors,,1969,1986-12-31,38237532160,466.76748765441545,"[0.1839621482118717, 0.18527725635431994, 0.18283655420897477, 0.17949763972259455]"
ACN,Accenture,Information Technology,IT Consulting & Other Services,,1989,2011-07-06,147834912768,448.0912687906521,"[0.32609352953344267, 0.32336675596647696, 0.31985975002072026, 0.3238280337778256]"
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,,1960,2020-06-22,26363527168,398.91342709244407,"[0.44915343915343914, 0.45410345133528524, 0.450811563404536, 0.4472834449428949]"
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,,1927,2001-08-07,20189941760,397.51123670541625,"[0.7673013309717918, 0.7709556138595115, 0.7665816510324356, 0.7726480453473554]"
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,,1988,2019-08-09,12521027584,373.83793338046405,"[0.4421194322075379, 0.44194996792815905, 0.4484427543291744, 0.44288917824074076]"
EXPD,Expeditors International,Industrials,Air Freight & Logistics,,1979,2007-10-10,16275365888,354.45780150040594,"[0.12726174152859554, 0.1339205665309335, 0.12718024022094648, 0.13105030847851581]"
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,,1990,2016-04-18,23921715200,346.2491501937337,"[0.3884018579180984, 0.3909147455012147, 0.3961873247797441, 0.3902905019401825]"
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,,1976,1993-10-01,414961958912,343.0701934327549,"[0.1261333134213391, 0.12259688802674482, 0.12148717361227385, 0.12884769482822858]"
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,,1869,1957-03-04,9187116032,328.8480255039917,"[0.3399005169218765, 0.3433997509339975, 0.3479747782408892, 0.3413921980845597]"
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,,1891,2009-03-04,13216463872,328.3631147526885,"[0.16963110771872048, 0.16513950029768762, 0.17374746825658896, 0.16931969072355993]"
ADBE,Adobe Inc.,Information Technology,Application Software,,1982,1997-05-05,139502632960,321.3918101993052,"[0.9223436410137177, 0.9149878922149518, 0.9160513461320005, 0.920874247703516]"
ZTS,Zoetis,Health Care,Pharmaceuticals,,1952,2013-06-21,63845011456,298.55081561622103,"[0.7447061365600691, 0.7402855805243446, 0.7352722772277228, 0.7407407407407407]"
GEN,Gen Digital,Information Technology,Systems Software,,1982,2003-03-25,16332849152,275.9258144674321,"[0.8650571791613723, 0.8739473684210526, 0.8697618329816099, 0.8737482117310443]"
JBL,Jabil,Information Technology,Electronic Manufacturing Services,,1966,2023-12-18,22365327360,271.12376891297384,"[0.1153619776339023, 0.10829347011699614, 0.10523328753211064, 0.10886119173638381]"
BSX,Boston Scientific,Health Care,Health Care Equipment,,1979,1995-02-24,147049037824,270.83526409041804,"[0.7107541649250612, 0.7207162921348315, 0.7143195079640435, 0.7174461641991925]"
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,,1962,1982-08-31,858915274752,264.37077822508945,"[0.24851061330278934, 0.24375390549662487, 0.24140463839525986, 0.25098733487675334]"
CPRT,Copart,Industrials,Diversified Support Services,,1982,2018-07-02,42909216768,261.2567001781461,"[0.4518317144247914, 0.45016088706089447, 0.44889079208314836, 0.4587995558882934]"
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,,1997,2024-06-24,17823928320,254.8951977610007,"[0.6387649785708038, 0.6300980230836134, 0.6371568938968054, 0.6403805330607752]"
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,,1967,1995-03-16,179236585472,249.9030654258557,"[0.47457315278186635, 0.4670211562393936, 0.465115377157262, 0.4732255127260114]"
OMC,Omnicom Group,Communication Services,Advertising,,1986,1997-12-31,15017398272,244.1953856677466,"[0.18639692525383866, 0.18441758211840295, 0.18763952943152473, 0.1952286310131986]"
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,,2011,2011-11-01,35515908096,241.90320674350738,"[0.37514599392665265, 0.3689570885388376, 0.37739949293734154, 0.3801732435033686]"
MOH,Molina Healthcare,Health Care,Managed Health Care,,1980,2022-03-02,10443255808,238.86438760697203,"[0.11650676506765067, 0.12720122094388353, 0.12278726465253018, 0.11810881855172663]"
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,,1905,2007-03-02,15043633152,236.1957451401076,"[0.07383741883477736, 0.06472177359935755, 0.07572682502163758, 0.06962468149051833]"
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,,1981,2009-12-23,54293323776,233.51982580084064,"[0.693019093078759, 0.6972061251578232, 0.6986112662422279, 0.7049526252637677]"
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,,1955,1985-10-31,22832885760,233.0122941486075,"[0.3819591735456742, 0.3731606423131519, 0.3703325550912053, 0.3755856301459413]"
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,,1948,2018-10-01,27052605440,229.60373123845454,"[0.526900222739758, 0.5217253369203827, 0.514656934079129, 0.5204318772429155]"
FAST,Fastenal,Industrials,Trading Companies & Distributors,,1967,2008-09-15,48745594880,229.42213494650684,"[0.4508216273522396, 0.4565995617079777, 0.46067673265908377, 0.4620273170407094]"
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,,"2020 (1853, United Technologies spinoff)",2020-04-03,35829063680,227.45269921362097,"[0.29850641609985273, 0.29509465831515236, 0.2864450127877238, 0.2932577982934676]"
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,,1898,1957-03-04,24593405952,220.89752290849523,"[0.2815940705730705, 0.2794988369634172, 0.2843910968290724, 0.2914837576821773]"
JCI,Johnson Controls,Industrials,Building Products,,1885,2010-08-27,71216766976,220.03040282294208,"[0.35190833042872083, 0.34946934754377323, 0.3435576876483985, 0.3405019435524759]"
KR,Kroger,Consumer Staples,Food Retail,,1883,1957-03-04,45718167552,219.96459312237874,"[0.23113993053431484, 0.22653443438039442, 0.21848399411836122, 0.22448653980041772]"
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,,1989,2012-12-12,47929069568,219.08210775966802,"[0.5870433449586249, 0.5747532827415358, 0.5774917360830206, 0.58008788240335]"
AVGO,Broadcom,Information Technology,Semiconductors,,1961,2014-05-08,1649663672320,218.82396094686513,"[0.7615271260712763, 0.7574471649124767, 0.7700207812547059, 0.761712204007286]"
CNC,Centene Corporation,Health Care,Managed Health Care,,1984,2016-03-30,17322260480,218.75865736619772,"[0.10320044643130906, 0.11243579503763011, 0.11522203850650653, 0.1127065771300662]"
AZO,AutoZone,Consumer Discretionary,Automotive Retail,,1979,1997-01-02,67162783744,217.62228084121523,"[0.530930757736989, 0.5195803063364826, 0.5213223046929559, 0.5275464068187854]"
MCK,McKesson Corporation,Health Care,Health Care Distributors,,1833,1999-01-13,97766129664,217.1080549065388,"[0.0371061492657032, 0.041521147366410854, 0.0446603134678419, 0.049741254555510934]"
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,,1966,1999-06-29,16747171840,214.7469274587263,"[0.22599210171450587, 0.22100248550124274, 0.21409132143937104, 0.22487973570835185]"
UHS,Universal Health Services,Health Care,Health Care Facilities,,1979,2014-09-20,13017929728,214.42728191199456,"[0.8996845766677712, 0.8926739549205236, 0.8899695284181272, 0.8871127359444625]"
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,,1902,1957-03-04,30427815936,212.7160236618031,"[0.06755524377411434, 0.0799808378133816, 0.07454015518531648, 0.07022956281012094]"
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,,2017,2017-07-07,44542017536,211.77952946221308,"[0.20985303101081607, 0.20587312789147652, 0.20797882397428624, 0.19749292751926642]"
MSFT,Microsoft,Information Technology,Systems Software,,1975,1994-06-01,3817525739520,202.2583433081102,"[0.6882374238616519, 0.6976444382797138, 0.6892008588349102, 0.684016744842891]"
PWR,Quanta Services,Industrials,Construction & Engineering,,1997,2009-07-01,64646225920,199.8487106105028,"[0.16348403304299303, 0.1562034202708277, 0.16515274802720853, 0.1701657746294302]"
PTC,PTC Inc.,Information Technology,Application Software,,1985,2021-04-20,24301148160,197.48996746920048,"[0.8497145059848455, 0.8360241729703541, 0.8453924722256274, 0.846187302832789]"
STE,Steris,Health Care,Health Care Equipment,,1985,2019-12-23,23658430464,193.47247645856262,"[0.4401057603102107, 0.43165772828580606, 0.4366423838460972, 0.4458506564493135]"
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,,1938,2014-01-24,29253332992,192.59803719517325,"[0.3625931089828546, 0.3591860421259213, 0.35003893424979887, 0.3516704166684667]"
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,,1925,1973-12-31,18513184768,191.25428099434797,"[0.36291443846055166, 0.3590495010742462, 0.3502947799583209, 0.35156103359156693]"
TTD,Trade Desk (The),Communication Services,Advertising,,2009,2025-07-18,24437364736,186.2752167671413,"[0.8069347124606977, 0.8121400530285903, 0.8218253955678653, 0.814826484976184]"
