Ticker,Full Name,Sector,Sub-Industry,Founding Year (YF),Founded (Wiki),Date Added,Market Cap,Pricing Power (Uptrend),Uptrend Slope,Trend Residual Std,Trend R^2,Gross Margins (newest→older),Years Used (labels)
MCK,McKesson Corporation,Health Care,Health Care Distributors,,1833,1999-01-13,97766129664,10.328353220387294,0.004104448197085417,0.0003963961879018219,0.9925935377863423,"[0.0371061492657032, 0.041521147366410854, 0.0446603134678419, 0.049741254555510934]","['2025-03-31 00:00:00', '2024-03-31 00:00:00', '2023-03-31 00:00:00', '2022-03-31 00:00:00']"
CVS,CVS Health,Health Care,Health Care Services,,1996,1957-03-04,104662286336,8.35894376129323,0.01385299556633011,0.0016562662721428436,0.9886935925451357,"[0.13787489035940656, 0.15213709136442913, 0.1690157442466981, 0.17842532461975072]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,,1903,1957-03-04,47439933440,6.844902906872776,0.01271116078985731,0.0018560257259740514,0.9832296353643332,"[0.08381984085798305, 0.09171864624186253, 0.10859373517148876, 0.12056534718096537]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,,1939,2012-12-03,23274010624,5.5992665469804574,0.006966671353232909,0.001243211414973602,0.975157009965376,"[0.29590775781568485, 0.3028828291943093, 0.31233031547769113, 0.315980833565334]","['2025-01-31 00:00:00', '2024-01-31 00:00:00', '2023-01-31 00:00:00', '2022-01-31 00:00:00']"
INCY,Incyte,Health Care,Biotechnology,,1991,2017-02-28,17100332032,5.269907877406513,0.007709822740175716,0.0014619900407234372,0.9720376845166858,"[0.9264126310915004, 0.9309999407411256, 0.9390214264567472, 0.949438211653546]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
DXCM,Dexcom,Health Care,Health Care Equipment,,1999,2020-05-12,26117539840,5.215255041641249,0.026059518284578517,0.00499578694071643,0.9714385424049783,"[0.6045623605256633, 0.6318913397565082, 0.647157880266685, 0.6863385746375332]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
HAS,Hasbro,Consumer Discretionary,Leisure Products,,1923,1984-09-30,10490796032,4.723801515616174,0.015414760285198604,0.0032622108343756053,0.9654098678437651,"[0.6808850199492201, 0.6886654807826834, 0.7059777690508307, 0.7264967914771665]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
STLD,Steel Dynamics,Materials,Steel,,1993,2022-12-22,21013454848,4.472957820605591,0.042384648879695806,0.009474754205515263,0.9615598534523541,"[0.18534177404265242, 0.2367419095268204, 0.29083427197994105, 0.3085931494905983]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,,1995,2002-07-22,42048569344,4.164578832700555,0.014400737253877102,0.0034569096308134538,0.955931976137784,"[0.7494894486044928, 0.7576147151898734, 0.771107708014293, 0.7929942418426104]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,,1923,2020-05-22,19458123776,3.796496222622496,0.02211333698042559,0.0058236698228374415,0.9474318276924745,"[0.34511959076455134, 0.3828056139399281, 0.39357095846756035, 0.41524226585675944]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,,1994,2006-11-17,32273205248,3.6753588610209214,0.009848989082139782,0.0026787353549862563,0.9441276411551134,"[0.3440920145926226, 0.3474913450111094, 0.3592752728021412, 0.3729940022694116]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,,1981,2009-12-23,54293323776,3.6540881924572486,0.003720573763942949,0.0010171948458778143,0.9435770462364708,"[0.693019093078759, 0.6972061251578232, 0.6986112662422279, 0.7049526252637677]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
SOLV,Solventum,Health Care,Health Care Technology,,2023,2024-04-01,12511664128,3.4574337105544704,0.014308171863584357,0.004137379231944767,0.9373022425782246,"[0.556457475163557, 0.5725265340978407, 0.577490774907749, 0.6024966344388691]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
FAST,Fastenal,Industrials,Trading Companies & Distributors,,1967,2008-09-15,48745594880,3.3844017812492857,0.00376942400165143,0.0011127637447584668,0.93482567101842,"[0.4508216273522396, 0.4565995617079777, 0.46067673265908377, 0.4620273170407094]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
INTC,Intel,Information Technology,Semiconductors,,1968,1976-12-31,176064626688,3.2694358513820956,0.07091444964757102,0.021689118072692325,0.9303754290788803,"[0.32664168283083184, 0.400365125027661, 0.426079233672725, 0.5544518121077141]","['2024-12-31 00:00:00', '2023-12-31 00:00:00', '2022-12-31 00:00:00', '2021-12-31 00:00:00']"
