Ticker,Full Name,ROE History,ROE Changes,ROE Power
MMM,3M Company,"[np.float64(1.0434669442998439), np.float64(-1.7478676929477845), np.float64(0.3924059231082733), np.float64(0.3935265186760601)]","[-2.7913346372476284, 2.140273616056058, 0.001120595567786764]",0.49524547936552604
AOS,A. O. Smith Corporation,"[np.float64(0.28330236262277675), np.float64(0.3017783561049664), np.float64(0.13486296275104423), np.float64(0.2658552559764218)]","[0.018475993482189645, -0.16691539335392216, 0.13099229322537756]",8.141513619712672
ABT,Abbott Laboratories,"[np.float64(0.2811765693185633), np.float64(0.14825272647203586), np.float64(0.18898217303603554), np.float64(0.19750293279705045)]","[-0.13292384284652742, 0.04072944656399968, 0.008520759761014907]",13.25832464931582
ABBV,AbbVie Inc.,"[np.float64(1.2866165413533834), np.float64(0.4694015444015444), np.float64(0.6859858583516866), np.float64(0.7490913811007269)]","[-0.817214996951839, 0.21658431395014216, 0.06310552274904035]",2.195425704495266
ACN,Accenture plc,"[np.float64(0.25680928666575276), np.float64(0.2674502806015326), np.float64(0.31109829111850906), np.float64(0.30245643324181004)]","[0.01064099393577983, 0.043648010516976476, -0.008641857876699022]",46.315703058239166
ADBE,Adobe Inc.,"[np.float64(0.3941864587025877), np.float64(0.32861121201113935), np.float64(0.3384812468863426), np.float64(0.3258768669324863)]","[-0.06557524669144837, 0.00987003487520327, -0.012604379953856326]",31.617502968834962
AMD,"Advanced Micro Devices, Inc.","[np.float64(0.028505419677598665), np.float64(0.015279467544550203), np.float64(0.02410958904109589), np.float64(0.4217687074829932)]","[-0.013225952133048462, 0.008830121496545688, 0.39765911844189733]",5.2991542332092045
AES,The AES Corporation,"[np.float64(0.4626783754116356), np.float64(0.0972668810289389), np.float64(-0.22404595814526057), np.float64(-0.14760543245175126)]","[-0.3654114943826967, -0.3213128391741995, 0.07644052569350931]",5.032355555007343
AFL,Aflac Incorporated,"[np.float64(0.20856004291516592), np.float64(0.2119172162838299), np.float64(0.21936444885799405), np.float64(0.12723664030313053)]","[0.0033571733686639793, 0.007447232574164159, -0.09212780855486352]",21.73610650653633
A,"Agilent Technologies, Inc.","[np.float64(0.21854866056290267), np.float64(0.21214713430282292), np.float64(0.23638077285579642), np.float64(0.22453145295973279)]","[-0.006401526260079754, 0.024233638552973502, -0.011849319896063637]",62.96394124087621
