Ticker,Full Name,ROIC History,ROIC Changes,ROIC Power
MMM,3M Company,"[np.float64(0.3182838283828383), np.float64(-0.5300768658566823), np.float64(0.2691721895196147), np.float64(0.3051093077177873)]","[-0.8483606942395207, 0.799249055376297, 0.035937118198172635]",1.4853586397528362
AOS,A. O. Smith Corporation,"[np.float64(0.003056784262955371), np.float64(0.0024733842348639637), np.float64(-0.15869346358924644), np.float64(0.006912910877668587)]","[-0.0005834000280914072, -0.1611668478241104, 0.16560637446691504]",7.495625151326561
ABT,Abbott Laboratories,"[np.float64(0.10997776273808373), np.float64(0.1229968861547809), np.float64(0.15959842730083598), np.float64(0.17148730892141098)]","[0.01301912341669717, 0.036601541146055086, 0.011888881620574998]",87.77622321071078
ABBV,AbbVie Inc.,"[np.float64(0.2169638828865196), np.float64(0.2644595547079066), np.float64(0.38690870261612387), np.float64(0.35401935611297647)]","[0.047495671821387, 0.12244914790821726, -0.0328893465031474]",15.765511156165001
ACN,Accenture plc,"[np.float64(0.19931398008593942), np.float64(0.19811914423774904), np.float64(0.23260603819403264), np.float64(0.2128563102348739)]","[-0.0011948358481903842, 0.0344868939562836, -0.019749727959158747]",44.43064312741247
ADBE,Adobe Inc.,"[np.float64(0.27373507674815234), np.float64(0.2684807622431265), np.float64(0.27494476757292935), np.float64(0.2670164296562198)]","[-0.005254314505025837, 0.006464005329802847, -0.007928337916709549]",159.98942766020036
AMD,"Advanced Micro Devices, Inc.","[np.float64(0.02929883267282456), np.float64(0.006407695626468098), np.float64(0.020680966638852074), np.float64(0.3108119621709125)]","[-0.022891137046356463, 0.014273271012383976, 0.29013099553206045]",7.161933680584756
AES,The AES Corporation,"[np.float64(-0.003502304147465438), np.float64(-0.0015271061338763044), np.float64(-0.015097771714415644), np.float64(0.0007527691149585977)]","[0.0019751980135891333, -0.01357066558053934, 0.015850540829374243]",83.2112257081283
A,"Agilent Technologies, Inc.","[np.float64(0.19094058770691646), np.float64(0.18125671321160042), np.float64(0.2257884454367848), np.float64(0.18979850641115964)]","[-0.009683874495316047, 0.04453173222518439, -0.03598993902562517]",29.828854876297054
APD,"Air Products and Chemicals, Inc.","[np.float64(0.19542473078286288), np.float64(0.1275612213069068), np.float64(0.13622860870679512), np.float64(0.13509720437493708)]","[-0.06786350947595607, 0.008667387399888316, -0.0011314043318580436]",29.408700253710972
ABNB,"Airbnb, Inc.","[np.float64(0.13745759974156033), np.float64(0.08379795749378968), np.float64(0.13310681045944747), np.float64(0.03853062690856835)]","[-0.053659642247770645, 0.04930885296565779, -0.09457618355087913]",16.519568799963398
AKAM,"Akamai Technologies, Inc.","[np.float64(0.07653306895008093), np.float64(0.11730450215922755), np.float64(0.13057864803521105), np.float64(0.14719844822384973)]","[0.040771433209146626, 0.013274145875983495, 0.016619800188638678]",81.63165301195446
ALB,Albemarle Corporation,"[np.float64(-0.14602357425749735), np.float64(0.019045014423206698), np.float64(0.22595062030603752), np.float64(0.10396354555802635)]","[0.16506858868070404, 0.20690560588283083, -0.12198707474801117]",6.840803674731591
ARE,"Alexandria Real Estate Equities, Inc.","[np.float64(0.002738019624499462), np.float64(0.001756127236480403), np.float64(0.0005305429451357748), np.float64(0.00028416241646980517)]","[-0.000981892388019059, -0.0012255842913446282, -0.00024638052866596965]",2402.5357652209605
ALGN,"Align Technology, Inc.","[np.float64(0.10316243837873336), np.float64(0.11292376823296063), np.float64(0.1162595470256882), np.float64(0.17602989840060504)]","[0.009761329854227271, 0.0033357787927275756, 0.05977035137491683]",39.642015990640914
ALLE,Allegion plc,"[np.float64(0.355251183108846), np.float64(0.29541284403669726), np.float64(0.35580365269097747), np.float64(0.38882370196538574)]","[-0.05983833907214875, 0.060390808654280204, 0.03302004927440827]",19.435136925959434
LNT,Alliant Energy Corporation,"[np.float64(0.09116164214425353), np.float64(0.10384318907609294), np.float64(0.10741984025928927), np.float64(0.09883142715067131)]","[0.012681546931839413, 0.0035766511831963332, -0.008588413108617965]",114.76668181419747
GOOGL,Alphabet Inc.,"[np.float64(0.2713384161504179), np.float64(0.23081767722820537), np.float64(0.22996890402035372), np.float64(0.24918246599280128)]","[-0.04052073892221256, -0.0008487732078516497, 0.019213561972447557]",40.28915392332948
GOOG,Alphabet Inc.,"[np.float64(0.2713384161504179), np.float64(0.23081767722820537), np.float64(0.22996890402035372), np.float64(0.24918246599280128)]","[-0.04052073892221256, -0.0008487732078516497, 0.019213561972447557]",40.28915392332948
MO,"Altria Group, Inc.","[np.float64(1.7049901410586987), np.float64(1.4749010090688466), np.float64(2.5397400383549966), np.float64(1.6578230316936755)]","[-0.23008913198985215, 1.06483902928615, -0.8819170066613211]",1.2359629553378726
AMZN,"Amazon.com, Inc.","[np.float64(0.14738472843848638), np.float64(0.10047111169273049), np.float64(0.040632173993816266), np.float64(0.08869170905953777)]","[-0.04691361674575589, -0.05983893769891422, 0.048059535065721505]",20.786749716205446
AMCR,Amcor plc,"[np.float64(0.05387942542852566), np.float64(0.1477964450937424), np.float64(0.1760448283913145), np.float64(0.13403288619645176)]","[0.09391701966521673, 0.028248383297572094, -0.042011942194862734]",18.01694056181718
AEE,Ameren Corporation,"[np.float64(0.09683188553909045), np.float64(0.10510692842204682), np.float64(0.10819110190673427), np.float64(0.10533386013433425)]","[0.008275042882956371, 0.0030841734846874524, -0.0028572417724000154]",219.8682673108142
AEP,"American Electric Power Company, Inc.","[np.float64(0.1076023742730414), np.float64(0.09645370834971996), np.float64(0.0931484646430606), np.float64(0.09716893260299257)]","[-0.011148665923321435, -0.0033052437066593554, 0.004020467959931967]",161.4472105822482
AMT,American Tower Corporation,"[np.float64(0.2700561458476588), np.float64(0.17253942930327304), np.float64(0.13216926314163818), np.float64(0.1726866223003931)]","[-0.09751671654438576, -0.04037016616163486, 0.04051735915875493]",17.658694779089224
AWK,"American Water Works Company, Inc.","[np.float64(0.12742916481234237), np.float64(0.12587880816873118), np.float64(0.12119192688499619), np.float64(0.12670833774764276)]","[-0.0015503566436111949, -0.004686881283734984, 0.005516410862646565]",234.3434203827586
AME,"AMETEK, Inc.","[np.float64(0.15140194851219907), np.float64(0.14703295442842032), np.float64(0.16599264173161546), np.float64(0.15514395749809312)]","[-0.004368994083778749, 0.01895968730319514, -0.010848684233522338]",78.11989375052659
AMGN,Amgen Inc.,"[np.float64(0.2504831584759801), np.float64(0.3207033788174139), np.float64(0.49441802770312177), np.float64(0.40452234696038974)]","[0.07022022034143377, 0.17371464888570787, -0.08989568074273202]",9.221449716204216
APH,Amphenol Corporation,"[np.float64(0.2264650392040115), np.float64(0.2210515406936576), np.float64(0.2646619311784815), np.float64(0.23850581224082845)]","[-0.005413498510353915, 0.04361039048482393, -0.026156118937653072]",34.18603342221677
ADI,"Analog Devices, Inc.","[np.float64(0.05326397131875911), np.float64(0.0986199976355626), np.float64(0.08426806450851802), np.float64(0.041513310132798846)]","[0.045356026316803494, -0.01435193312704458, -0.04275475437571918]",27.233065255883
AON,Aon plc,"[np.float64(0.13033135089209855), np.float64(0.18102252618489645), np.float64(0.1845851989736882), np.float64(0.10330680638623894)]","[0.0506911752927979, 0.003562672788791743, -0.08127839258744925]",18.313438604016316
APA,APA Corporation,"[np.float64(-0.0006439841150584952), np.float64(0.0029532403609515995), np.float64(0.0347336306031448), np.float64(0.16285714285714287)]","[0.0035972244760100946, 0.0317803902421932, 0.12812351225399807]",18.75619777158036
APO,"Apollo Global Management, Inc.","[np.float64(0.0005156439727873052), np.float64(0.000562704290620216), np.float64(0.000190257799318076), np.float64(-0.009022462821230788)]","[4.706031783291073e-05, -0.00037244649130213994, -0.009212720620548865]",234.21068154784246
AAPL,Apple Inc.,"[np.float64(0.5280489581815533), np.float64(0.5509703355924687), np.float64(0.58360452275548), np.float64(0.5777611615783975)]","[0.022921377410915378, 0.03263418716301136, -0.005843361177082507]",61.208296523768574
AMAT,"Applied Materials, Inc.","[np.float64(0.2863955731915978), np.float64(0.3226676784283968), np.float64(0.3978950595207684), np.float64(0.37055564520466894)]","[0.03627210523679897, 0.07522738109237165, -0.027339414316099486]",23.65515267585777
APP,AppLovin Corporation,"[np.float64(0.8724760046384047), np.float64(0.29457915672741636), np.float64(-0.019257868300535736), np.float64(0.05399389862035108)]","[-0.5778968479109883, -0.3138370250279521, 0.07325176692088682]",3.73961408361226
APTV,Aptiv PLC,"[np.float64(0.129572312886888), np.float64(0.09362238770117703), np.float64(0.09047926069202665), np.float64(0.0931234335839599)]","[-0.03594992518571097, -0.0031431270091503843, 0.0026441728919332497]",58.84295177342293
ADM,Archer-Daniels-Midland Company,"[np.float64(0.0052868842785999196), np.float64(0.003199851601085167), np.float64(0.005736882004630483), np.float64(0.0017220172201722018)]","[-0.0020870326775147526, 0.002537030403545316, -0.004014864784458281]",363.734370514194
ANET,Arista Networks Inc,"[np.float64(0.23136711639456467), np.float64(0.24700448454635962), np.float64(0.24713048344397331), np.float64(0.18173369423057686)]","[0.01563736815179495, 0.00012599889761369387, -0.06539678921339645]",28.47426146043298
AJG,Arthur J. Gallagher & Co.,"[np.float64(0.04615860713101027), np.float64(0.04439111747851003), np.float64(0.0546009014438825), np.float64(0.052856086751979635)]","[-0.0017674896525002384, 0.01020978396537247, -0.0017448146919028656]",177.2796931770727
T,AT&T Inc.,"[np.float64(0.11399965289622195), np.float64(0.13756728547806404), np.float64(-0.028205128205128206), np.float64(0.08927383353155109)]","[0.023567632581842093, -0.16577241368319226, 0.1174789617366793]",8.488666224279632
ATO,Atmos Energy Corporation,"[np.float64(0.10142234724561089), np.float64(0.08730892859947953), np.float64(0.0707267589132625), np.float64(0.07926588938626519)]","[-0.01411341864613136, -0.016582169686217035, 0.008539130473002698]",88.45315891713321
ADSK,"Autodesk, Inc.","[np.float64(0.17421513124034999), np.float64(0.18175958749597165), np.float64(0.1922254616132167), np.float64(0.12721284479209552)]","[0.007544456255621668, 0.010465874117245061, -0.0650126168211212]",28.642876597049728
ADP,"Automatic Data Processing, Inc.","[np.float64(0.0006594152061567891), np.float64(0.0006891326600520678), np.float64(0.0010977446533568728), np.float64(0.0010567963825705673)]","[2.9717453895278636e-05, 0.0004086119933048051, -4.094827078630556e-05]",5066.1572782144
AZO,"AutoZone, Inc.","[np.float64(0.9556273739610944), np.float64(0.8346991154652541), np.float64(0.647735806459279), np.float64(0.5284299716917034)]","[-0.12092825849584032, -0.18696330900597513, -0.11930583476757561]",31.727307004686242
AVB,"AvalonBay Communities, Inc.","[np.float64(-0.0013862597446264897), np.float64(-0.002668809941547413), np.float64(-0.0009599383920637484), np.float64(-0.0001824201738911018)]","[-0.001282550196920923, 0.0017088715494836646, 0.0007775182181726466]",800.0738244761517
AVY,Avery Dennison Corporation,"[np.float64(0.005159519990724459), np.float64(0.006380246095206529), np.float64(0.001945364238410596), np.float64(0.0009167542427833554)]","[0.0012207261044820707, -0.004434881856795934, -0.0010286099956272406]",430.11867860441424
AXON,"Axon Enterprise, Inc.","[np.float64(0.014614758559395237), np.float64(0.0659780995615201), np.float64(0.0496879704692922), np.float64(-0.11465250925755437)]","[0.05136334100212487, -0.016290129092227906, -0.16434047972684657]",11.101670587008618
BKR,Baker Hughes Company,"[np.float64(0.10254276775610731), np.float64(0.08126972991932656), np.float64(0.04628725440412484), np.float64(0.050629976037721264)]","[-0.02127303783678075, -0.03498247551520172, 0.004342721633596426]",61.35768746245481
BALL,Ball Corporation,"[np.float64(0.1097708082026538), np.float64(0.11684294551985631), np.float64(0.10450878025628856), np.float64(0.14868229923220586)]","[0.00707213731720252, -0.012334165263567759, 0.0441735189759173]",42.656366638039046
BAX,Baxter International Inc.,"[np.float64(0.0010343553749538235), np.float64(0.0472246342929664), np.float64(-0.2673872180451128), np.float64(0.10107059968555814)]","[0.04619027891801258, -0.3146118523380792, 0.36845781773067093]",3.5841022129192552
