Ticker,Full Name,Sector,Sub-Industry,Market Cap,Total Assets,Total Liabilities,Tobin's Q
MMM,3M,Industrials,Industrial Conglomerates,81300594688,39868000000.0,35974000000.0,2.941572054981439
AOS,A. O. Smith,Industrials,Building Products,9768433664,3240000000.0,1356500000.0,3.433621501234568
ABT,Abbott Laboratories,Health Care,Health Care Equipment,223718588416,81414000000.0,33513000000.0,3.1595498122681605
ABBV,AbbVie,Health Care,Biotechnology,405548793856,135161000000.0,131797000000.0,3.9755979450877104
ACN,Accenture,Information Technology,IT Consulting & Other Services,147834912768,55932363000.0,26764115000.0,3.1216100733666483
ADBE,Adobe Inc.,Information Technology,Application Software,139502632960,30230000000.0,16125000000.0,5.148118854118425
AMD,Advanced Micro Devices,Information Technology,Semiconductors,378252394496,69226000000.0,11658000000.0,5.632427043249646
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10381682688,47406000000.0,39702000000.0,1.0564840460701177
AFL,Aflac,Financials,Life & Health Insurance,57606701056,117566000000.0,91468000000.0,1.268008616913053
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,40234377216,11846000000.0,5948000000.0,3.898562993077832
APD,Air Products,Materials,Industrial Gases,56350580736,39574600000.0,20900900000.0,1.9520470386561077
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",77086588928,20959000000.0,12547000000.0,4.276615722505845
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,10447070208,10368785000.0,5490428000.0,1.5370651631796783
ALB,Albemarle Corporation,Materials,Specialty Chemicals,10913914880,16609649000.0,6409961000.0,1.0430007208460577
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,12802370560,37527449000.0,15128988000.0,0.7442914267900278
ALGN,Align Technology,Health Care,Health Care Supplies,9455846400,6214600000.0,2362615000.0,1.9017251955073537
ALLE,Allegion,Industrials,Building Products,15236898816,4487800000.0,2987100000.0,4.0607867587682165
LNT,Alliant Energy,Utilities,Electric Utilities,17497636864,22714000000.0,15710000000.0,1.4619898240732587
ALL,Allstate,Financials,Property & Casualty Insurance,51612786688,111617000000.0,90250000000.0,1.270978315919618
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,3066071089152,450256000000.0,125172000000.0,7.087619241391564
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,3066070827008,450256000000.0,125172000000.0,7.0876186591805554
MO,Altria,Consumer Staples,Tobacco,109276913664,35177000000.0,37365000000.0,4.168687314552122
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2272052641792,624894000000.0,338924000000.0,4.17827126167318
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,18813132800,37066000000.0,25326000000.0,1.1908253601683483
AEE,Ameren,Utilities,Multi-Utilities,28533653504,44598000000.0,32355000000.0,1.3652776694919055
AEP,American Electric Power,Utilities,Electric Utilities,62854426624,103078000000.0,76091900000.0,1.3479726675333243
AXP,American Express,Financials,Consumer Finance,238821179392,271461000000.0,241197000000.0,1.768276766798914
AIG,American International Group,Financials,Multi-line Insurance,42857738240,161322000000.0,118772000000.0,1.0019076024348819
AMT,American Tower,Real Estate,Telecom Tower REITs,89571778560,61077400000.0,51428700000.0,2.308554040610766
AWK,American Water Works,Utilities,Water Utilities,28057122816,32830000000.0,22498000000.0,1.5399062691440755
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,44331204608,181403000000.0,176175000000.0,1.2155598562758059
AME,Ametek,Industrials,Electrical Components & Equipment,42835030016,14631169000.0,4975865000.0,3.267742653782483
AMGN,Amgen,Health Care,Biotechnology,160867909632,91839000000.0,85962000000.0,2.6876371653872537
APH,Amphenol,Information Technology,Electronic Components,153408733184,21440200000.0,11584100000.0,7.695489462971428
ADI,Analog Devices,Information Technology,Semiconductors,119481212928,48228277000.0,13051960000.0,2.7480387269070383
AON,Aon plc,Financials,Insurance Brokers,74736181248,48965000000.0,42535000000.0,2.3950001276013477
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,8057351168,19390000000.0,13028000000.0,1.0874343046931407
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,69432606720,377895000000.0,346915000000.0,1.1017547380092354
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",3744081903616,364980000000.0,308030000000.0,11.102284792635214
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,179236585472,34409000000.0,15408000000.0,5.656792858612572
APP,AppLovin,Information Technology,Application Software,202716561408,5869259000.0,4779441000.0,35.353015160516854
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,18021801984,23458000000.0,14373000000.0,1.3809703292693325
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,32287287296,70906000000.0,50086000000.0,1.1617252037345218
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,30427815936,53271000000.0,30840000000.0,1.1501157465788139
ANET,Arista Networks,Information Technology,Communications Equipment,179857440768,14043921000.0,4049114000.0,13.09510034754539
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,71902134272,64255200000.0,44075600000.0,1.8049548405732143
AIZ,Assurant,Financials,Multi-line Insurance,10551525376,35020600000.0,29913900000.0,1.1554749312119152
T,AT&T,Communication Services,Integrated Telecommunication Services,188341157888,394795000000.0,274570000000.0,1.1725355130840056
ATO,Atmos Energy,Utilities,Gas Utilities,28317962240,25194465000.0,13036796000.0,1.6414223616179189
ADSK,Autodesk,Information Technology,Application Software,64679579648,10833000000.0,8212000000.0,6.728660541678205
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,113939521536,53369300000.0,47181300000.0,3.018979479513503
AZO,AutoZone,Consumer Discretionary,Automotive Retail,67162783744,17176538000.0,21926152000.0,5.186664259351914
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,26628472832,21000737000.0,9059645000.0,1.6993745425220077
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,12433385472,8404200000.0,6091900000.0,2.204288983127484
