"Date","Samsung","Unknown","Huawei","Apple","Nokia","Tecno","Infinix","Oppo","Xiaomi","RIM","Sony","Itel","LG","Lenovo","HTC","Vodafone","Alcatel","Realme","ZTE","Motorola","Google","Condor","Vivo","Hisense","Wiko","Gionee","Infinex","Honor","Mobicel","BBK","Archos","OnePlus","Asus","Acer","MobiWire","Safaricom","Coolpad","Lava","Blu","Caterpillar","Meizu","Spice","CAT","Orange","Micromax","bq","White Label","MTN","TCL","Sharp","Xolo","K-Touch","Other"
2014-01,19.09,19.3,1.22,4.32,37.49,0,0,0,0,11.71,1.96,0,1.9,0.04,1.34,0.15,0.75,0,0.3,0.09,0.09,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0.09,0,0,0.02,0,0,0,0,0,0,0,0.1
2014-02,21.21,18.85,1.37,4.46,36.01,0,0,0,0,10.91,2.27,0,1.84,0.07,1.37,0.15,0.75,0,0.3,0.09,0.1,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0.09,0,0,0.02,0,0,0,0,0,0,0,0.1
2014-03,22.19,19.1,1.72,4.69,34.9,0,0,0,0,10.09,2.34,0,1.8,0.1,1.39,0.17,0.76,0,0.29,0.1,0.1,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0.08,0,0,0.02,0,0,0,0,0,0,0,0.1
2014-04,22.67,19.77,2.15,4.74,34.37,0,0,0,0.01,8.72,2.46,0,1.75,0.13,1.43,0.16,0.82,0,0.3,0.11,0.11,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0.1,0,0,0.02,0,0,0,0,0,0,0,0.1
2014-05,23.92,19.69,2.42,5.09,32.5,0,0,0,0.01,8.54,2.52,0,1.75,0.16,1.5,0.16,0.9,0,0.31,0.12,0.11,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0.11,0,0,0.03,0,0,0,0,0,0,0,0.09
2014-06,25.43,20.06,2.64,5.39,30.02,0,0,0,0.01,8.26,2.56,0,1.78,0.22,1.54,0.18,0.97,0,0.34,0.14,0.13,0,0,0.01,0.01,0,0,0,0,0,0.02,0,0,0.04,0,0,0.01,0,0,0,0,0.11,0,0,0.03,0,0,0,0,0,0,0,0.1
2014-07,26.32,19.59,2.75,6.64,28.12,0,0,0,0.01,7.45,2.8,0,1.82,0.25,1.53,0.2,0.94,0,0.32,0.16,0.69,0,0,0.02,0.07,0,0,0,0,0,0.03,0,0,0.05,0,0,0.01,0,0,0,0,0.1,0,0,0.03,0,0,0,0,0,0,0,0.1
2014-08,25.63,20.37,2.89,5.27,28.99,0,0,0,0.01,7.76,2.63,0,1.79,0.3,1.54,0.24,0.81,0,0.36,0.16,0.86,0,0,0.02,0.05,0,0,0,0,0,0.03,0,0,0.04,0,0,0.01,0,0,0,0,0.1,0,0,0.03,0,0,0,0,0,0,0,0.1
2014-09,26.81,16.78,3.22,4.95,31.13,0,0,0,0.01,8.1,2.65,0,1.74,0.37,1.48,0.28,0.77,0,0.42,0.17,0.72,0,0,0.02,0.05,0,0,0,0,0,0.04,0,0,0.04,0,0,0.01,0,0,0,0,0.09,0,0,0.03,0,0,0,0,0,0,0,0.1
2014-10,28.13,16.82,3.14,5.76,28.82,0,0,0,0.02,7.45,2.91,0,1.81,0.42,1.59,0.27,0.82,0,0.5,0.19,0.91,0,0,0.02,0.08,0,0,0,0,0,0.05,0,0.01,0.05,0,0,0.01,0,0,0,0,0.08,0,0,0.03,0,0,0,0,0,0,0,0.1
2014-11,28.09,17.95,3.18,5.47,28.7,0,0,0,0.02,6.86,2.81,0,1.75,0.43,1.54,0.27,0.8,0,0.52,0.2,0.95,0,0,0.02,0.07,0,0,0,0,0,0.06,0,0.01,0.04,0,0,0.01,0,0,0,0,0.09,0,0,0.03,0,0,0,0,0,0,0,0.1
2014-12,29.14,18.94,3.33,5.64,26.9,0,0,0.01,0.02,6.31,2.96,0,1.74,0.52,1.62,0.34,0.85,0,0.54,0.22,0.42,0,0,0.02,0.07,0,0,0,0,0,0.08,0,0.01,0.05,0,0,0.01,0,0,0,0,0.09,0,0,0.03,0,0,0,0,0,0,0,0.1
2015-01,29.48,19.39,3.5,5.44,25.58,0,0,0.01,0.02,6.32,3.04,0,1.68,0.65,1.63,0.39,0.88,0,0.6,0.22,0.64,0,0,0.03,0.08,0,0,0,0,0,0.11,0.01,0.01,0.05,0,0,0.01,0,0,0,0,0.08,0,0,0.04,0,0,0,0,0,0,0,0.1
2015-02,30.26,19.61,3.51,5.54,23.9,0,0,0.01,0.03,6.2,3.21,0,1.71,0.72,1.7,0.42,0.91,0,0.6,0.26,0.86,0,0,0.03,0.09,0,0,0,0,0,0.13,0.01,0.02,0.05,0,0,0.01,0,0,0,0,0.08,0,0,0.04,0.01,0,0,0,0,0,0,0.11
2015-03,30.6,20.04,3.64,5.64,22.46,0,0,0.01,0.03,6.3,3.26,0,1.73,0.79,1.72,0.46,0.9,0,0.6,0.26,1.01,0,0,0.02,0.1,0,0,0,0,0,0.14,0.01,0.02,0.05,0,0,0.01,0,0,0,0,0.04,0,0,0.05,0.01,0,0,0,0,0,0,0.1
2015-04,30.3,20.49,3.78,5.34,22.22,0,0,0.01,0.03,6.12,3.21,0,1.65,0.9,1.71,0.48,0.86,0,0.6,0.25,1.47,0,0,0.02,0.1,0,0,0,0,0,0.16,0.01,0.02,0.04,0,0,0.01,0,0,0,0,0.04,0,0,0.05,0.01,0,0,0,0,0,0,0.09
2015-05,30.42,20.37,3.81,5.2,21.77,0,0,0.02,0.04,5.73,3.22,0,1.65,1.05,1.67,0.51,0.84,0,0.59,0.25,2.27,0,0,0.03,0.1,0,0,0,0,0,0.17,0.01,0.03,0.05,0,0,0.02,0,0,0,0,0.03,0,0,0.06,0.01,0,0,0,0,0,0,0.09
2015-06,29.81,24.7,4,4.74,20.25,0,0,0.01,0.03,5.73,2.84,0,1.68,1.22,1.57,0.53,0.84,0,0.62,0.26,0.57,0,0,0.02,0.11,0,0,0,0,0,0.18,0.01,0.03,0.04,0,0,0.02,0,0,0,0,0.03,0,0,0.05,0.01,0,0,0,0,0,0.01,0.09
2015-07,29.38,25.3,4.1,4.74,19.6,0,0,0.01,0.03,5.87,2.88,0,1.84,1.48,1.58,0.6,0.81,0,0.63,0.27,0.22,0,0,0.02,0.14,0,0,0,0,0,0.21,0.01,0.03,0.04,0,0,0.02,0,0,0,0,0.03,0,0,0.05,0.01,0,0,0,0,0,0.01,0.09
2015-08,30.09,30.96,5.25,3.18,14.59,0,0,0.01,0.03,4.96,2.57,0,1.87,0.93,1.8,0.78,1.01,0,0.74,0.48,0.19,0,0,0.02,0.1,0,0,0,0,0,0.15,0.01,0.03,0.04,0,0,0.02,0,0,0,0.01,0.02,0.01,0,0.05,0.01,0,0,0,0,0,0.01,0.09
2015-09,30.87,31.97,5.58,2.82,13.04,0,0,0.01,0.02,4.2,2.55,0,1.99,0.93,1.87,0.9,0.99,0,0.76,0.55,0.38,0,0,0.02,0.12,0,0,0,0,0,0.15,0.01,0.03,0.04,0,0,0.02,0,0,0,0.01,0.02,0.02,0,0.05,0.01,0,0,0,0,0,0.01,0.08
2015-10,30.68,31.33,5.7,2.76,13.59,0,0,0.01,0.03,4.35,2.68,0,1.96,0.94,1.87,0.91,0.9,0,0.8,0.61,0.33,0,0,0.01,0.1,0,0,0,0,0.01,0.13,0.01,0.03,0.04,0,0,0.03,0,0,0,0.01,0.02,0.02,0,0.06,0.01,0,0,0,0,0,0.01,0.07
2015-11,30.67,30.44,5.48,3.31,14.34,0,0,0.01,0.04,4.25,2.7,0,1.91,1.11,1.83,0.77,0.87,0,0.74,0.62,0.32,0,0,0.01,0.1,0,0,0,0,0,0.16,0.01,0.03,0.05,0,0,0.03,0,0,0,0.01,0.03,0.03,0,0.05,0.01,0,0,0,0,0,0.01,0.08
2015-12,30.7,31.26,5.56,3.31,13.45,0,0,0.01,0.03,4.22,2.69,0,1.92,1.19,1.76,0.8,0.8,0,0.72,0.49,0.46,0,0,0.01,0.11,0,0,0,0,0,0.16,0.01,0.04,0.05,0,0,0.03,0,0,0,0.01,0.03,0.03,0,0.04,0.01,0,0,0,0,0,0.01,0.07
2016-01,30.32,32.52,5.53,3.29,12.64,0,0,0.02,0.03,3.92,2.6,0,1.91,1.22,1.73,0.78,0.78,0,0.64,0.54,0.87,0,0,0.01,0.13,0,0,0,0,0,0.15,0.01,0.04,0.06,0,0,0.03,0,0,0,0.01,0.03,0.03,0,0.04,0.01,0,0,0,0,0,0.01,0.07
2016-02,30.27,32.12,5.72,3.42,12.64,0,0,0.02,0.04,4.11,2.65,0,1.89,1.35,1.81,0.86,0.71,0,0.68,0.6,0.48,0,0,0.01,0.12,0,0,0,0,0.01,0.15,0.01,0.04,0.07,0,0,0.03,0,0,0,0.01,0.03,0.03,0,0.05,0.01,0,0,0,0,0,0.01,0.07
2016-03,31.02,32.28,5.95,3.17,12.16,0,0,0.04,0.05,4.04,2.56,0,1.86,1.19,1.68,0.89,0.67,0,0.68,0.59,0.49,0,0,0.01,0.15,0,0,0,0,0,0.14,0.01,0.05,0.08,0,0,0.02,0,0,0,0.01,0.03,0.03,0,0.05,0.01,0,0,0,0,0,0.01,0.06
2016-04,30.22,32.81,5.96,3.13,12.46,0,0,0.04,0.05,4.15,2.51,0,1.78,1.2,1.69,0.94,0.64,0,0.71,0.59,0.45,0,0,0.01,0.16,0,0,0,0,0,0.13,0.01,0.06,0.1,0,0,0.02,0,0,0,0.01,0.04,0.03,0,0.05,0.01,0,0,0,0,0,0.01,0.06
