"Date","Apple","Samsung","Xiaomi","Huawei","Unknown","Sony","HTC","LG","OnePlus","Lenovo","Oppo","Vivo","Google","Motorola","Archos","ZTE","Nokia","Asus","Alcatel","Realme","Honor","Acer","Cubot","Meizu","Infinix","Itel","bq","Vodafone","Karbonn","Tecno","Yu","Blu","Other"
2014-02,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2015-06,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2015-09,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,21.88,67.19,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0
2016-04,65.03,31.9,0,0,0,1.23,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,55.31,26.09,0,6.76,0.48,3.86,2.17,0.24,0,0,0,0,3.62,0.24,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,53.17,26.98,0,3.44,1.06,8.47,3.97,1.06,0,0,0,0,0.53,0.79,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,67.93,19.83,0,0,3.8,3.38,2.53,0.42,0,0,0,0,0.84,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
