"Date","Samsung","Apple","Unknown","Xiaomi","Nokia","Oppo","Huawei","Vivo","Micromax","Lenovo","LG","Realme","Sony","Mobicel","HTC","Asus","Motorola","General Mobile","BBK","OnePlus","Infinix","Lava","RIM","Google","Tecno","Gionee","Turkcell","ZTE","Casper","Lyf","Vestel","Coolpad","Spice","AIS","Hisense","Itel","Alcatel","QMobile","Meizu","Panasonic","Wiko","True","LeEco","Vodafone","Reliance Digital","Honor","InFocus","Intex","Smartfren","Xolo","Acer","i-Mobile","Avea","dtac","Karbonn","Yu","Infinex","Symphony","Sharp","Pantech","Turk Telecom","Reeder","HP","Vsmart","Opp","Other"
2014-01,31.37,10.06,18.9,0.12,26.56,0.01,0.69,0,3.13,0.62,1.96,0,2.08,0,1.63,0,0.09,0.03,0.01,0,0,0,0.85,0.2,0,0,0.18,0.23,0,0,0,0.04,0.56,0,0.05,0,0.26,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0.19,0,0,0.01,0,0,0.06
2014-02,33.74,10.33,15.8,0.13,25.12,0.03,0.74,0,3.18,0.67,1.92,0,2.67,0,1.67,0,0.1,1,0.01,0,0,0,0.88,0.24,0,0,0.21,0.25,0,0,0,0.05,0.54,0,0.05,0,0.26,0,0.02,0,0,0,0,0.1,0,0,0,0,0,0,0.04,0,0.03,0,0,0,0,0,0.01,0.16,0,0,0.01,0,0,0.06
2014-03,33.83,10.33,15.5,0.11,24.44,0.09,0.78,0,3.6,0.76,1.75,0,2.97,0,1.63,0,0.13,0.94,0.01,0,0,0,1.17,0.24,0,0,0.19,0.23,0,0,0,0.04,0.56,0,0.07,0,0.27,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0.04,0,0.03,0,0,0,0,0,0.01,0.12,0,0,0.01,0,0,0.06
2014-04,35.19,10.88,14.63,0.14,22.68,0.1,0.86,0,3.52,0.85,1.74,0,3.14,0,1.75,0,0.16,1.22,0.01,0,0,0,1.03,0.26,0,0,0.23,0.27,0,0,0,0.05,0.56,0,0.07,0,0.27,0,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0.07
2014-05,34.78,10.7,15.32,0.15,22.4,0.1,0.92,0,3.73,0.92,1.81,0,3.1,0,1.7,0,0.18,1.13,0.01,0,0,0,0.92,0.27,0,0,0.19,0.26,0,0,0,0.06,0.57,0,0.08,0,0.28,0,0.01,0,0,0,0,0.09,0,0,0,0,0,0,0.06,0,0.04,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0.09
2014-06,35.03,11.09,15.49,0.16,20.6,0.12,1.08,0,3.95,1.02,1.83,0,3.23,0,1.8,0,0.21,1.18,0.01,0,0,0,1.04,0.29,0,0,0.18,0.27,0,0,0,0.07,0.56,0,0.1,0,0.28,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0.07,0,0.05,0,0,0,0,0,0.01,0.09,0,0,0.01,0,0,0.09
2014-07,34.05,10.75,15.93,0.29,20.44,0.15,1.09,0,4.3,1.04,1.87,0,3.25,0,1.79,0.06,0.35,1.05,0.02,0,0,0.11,1.31,0.3,0,0,0.15,0.26,0,0,0,0.09,0.6,0,0.1,0,0.28,0,0.02,0,0,0,0,0.07,0,0,0,0,0,0,0.07,0,0.05,0,0,0,0,0,0.02,0.09,0,0,0.02,0,0,0.09
2014-08,34.8,10.76,15.52,0.38,19.01,0.23,1.11,0,4.33,1.07,1.94,0,3.31,0,1.92,0.22,0.46,1.22,0.02,0,0,0.12,1.22,0.29,0,0,0.23,0.3,0,0,0,0.1,0.61,0,0.14,0,0.28,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,0.06,0,0.05,0,0,0,0,0,0.02,0.08,0,0,0.02,0,0,0.09
2014-09,35.23,10.71,14.33,0.45,18.77,0.3,1.13,0,4.51,1.12,2.06,0,3.33,0,1.96,0.3,0.54,1.34,0.03,0.01,0,0.13,1.28,0.29,0,0,0.31,0.32,0,0,0,0.1,0.63,0,0.15,0,0.27,0,0.03,0,0,0,0,0.09,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,0,0.01,0.07,0,0,0.02,0,0,0.08
2014-10,35.33,11.16,14.11,0.62,17.5,0.32,1.21,0,4.5,1.15,2.17,0,3.28,0,2.01,0.35,0.65,1.62,0.04,0.01,0,0.15,1.17,0.28,0,0,0.43,0.37,0.02,0,0,0.1,0.59,0,0.14,0,0.26,0,0.04,0,0,0,0,0.12,0,0,0,0,0,0,0.05,0,0.07,0,0,0,0,0,0.01,0.06,0,0,0.02,0,0,0.08
2014-11,35.14,10.28,14.78,0.75,16.72,0.39,1.27,0,4.69,1.19,2.29,0,3.28,0,2.1,0.46,0.74,1.71,0.05,0.01,0,0.14,1.22,0.28,0,0,0.43,0.38,0.07,0,0,0.12,0.61,0,0.17,0,0.25,0,0.04,0,0,0,0,0.13,0,0,0,0,0,0,0.06,0,0.07,0,0,0,0,0,0.01,0.05,0,0,0.03,0,0,0.08
2014-12,33.83,9.95,14.92,0.9,17.95,0.48,1.34,0,4.73,1.32,2.07,0,3.31,0,2.04,0.62,0.8,1.43,0.08,0.02,0,0.22,1.29,0.28,0,0,0.34,0.36,0.08,0,0,0.12,0.61,0,0.21,0,0.25,0,0.05,0,0,0,0,0.11,0,0,0.02,0,0,0,0.06,0,0.05,0,0,0,0,0,0.01,0.04,0,0,0.03,0,0,0.09
2015-01,34.09,10.85,14.14,0.98,16.72,0.53,1.44,0,4.49,1.39,2.19,0,3.41,0,2.11,0.79,0.82,1.71,0.09,0.03,0,0.25,1.11,0.3,0,0.01,0.39,0.39,0.12,0,0.01,0.13,0.53,0,0.21,0,0.25,0,0.06,0,0,0,0,0.11,0,0,0.05,0,0,0,0.06,0,0.06,0,0,0,0,0,0.01,0.06,0,0,0.03,0,0,0.09
2015-02,34.1,11.68,13.87,1.13,14.91,0.6,1.55,0,4.32,1.47,2.35,0,3.49,0,2.29,0.96,0.78,2.03,0.1,0.04,0,0.24,1.01,0.29,0,0.01,0.46,0.45,0.16,0,0.03,0.15,0.47,0.04,0.21,0,0.25,0,0.07,0,0.01,0,0,0.13,0,0,0.05,0,0,0,0.06,0,0.07,0,0,0,0,0,0.01,0.05,0,0,0.03,0,0,0.08
2015-03,34.13,11.46,14.4,1.16,13.75,0.66,1.58,0,4.65,1.57,2.3,0,3.47,0,2.27,1.07,0.85,2.09,0.12,0.05,0,0.24,0.97,0.31,0,0.01,0.45,0.44,0.18,0,0.06,0.15,0.46,0.09,0.22,0,0.24,0,0.08,0,0.01,0,0,0.12,0,0,0.04,0,0,0,0.06,0,0.09,0,0,0,0,0,0.01,0.04,0,0,0.04,0,0,0.09
2015-04,33.85,11.58,14.88,1.1,13.26,0.72,1.64,0,4.49,1.62,2.32,0,3.4,0,2.29,1.13,0.86,2.14,0.12,0.06,0,0.24,1.04,0.37,0,0.01,0.45,0.44,0.2,0,0.07,0.15,0.42,0.13,0.23,0,0.23,0,0.09,0,0.01,0,0,0.12,0,0,0.04,0,0,0,0.06,0,0.09,0,0,0,0,0,0.01,0.04,0,0,0.04,0,0,0.08
