"Date","Samsung","Apple","Huawei","Xiaomi","Sony","Unknown","LG","Nokia","HTC","Motorola","Lenovo","Google","Oppo","OnePlus","RIM","Alcatel","ZTE","bq","Realme","Wiko","Asus","Vodafone","Vivo","Honor","Archos","Acer","Meizu","Tecno","Infinix","MyPhone","Orange","General Mobile","Kazam","Micromax","Mobicel","HP","Caterpillar","CAT","Prestigio","TCL","Xolo","Cubot","Neffos","Coolpad","BBK","Allview","LeEco","QMobile","Philips","Other"
2014-01,28.68,33.35,1.43,0.01,3.88,9.1,3.07,9.33,3.7,0.21,0.22,0.71,0,0,3.96,0.47,0.34,0,0,0,0,0.25,0,0,0.11,0.24,0,0,0,0,0,0,0,0.67,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
2014-02,31.75,31.15,1.39,0.01,5.59,7.57,3.44,8.37,3.58,0.4,0.23,0.89,0,0,3.34,0.45,0.34,0,0,0,0,0.27,0,0,0.11,0.22,0,0,0,0,0,0.01,0,0.63,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
2014-03,32.33,32.67,1.53,0.01,6.44,6.39,4.37,5.7,3.75,0.52,0.2,0.99,0,0,3.21,0.56,0.38,0,0,0,0,0.28,0,0,0.11,0.23,0,0,0,0,0,0.02,0.12,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
2014-04,32.45,32.15,1.54,0.01,6.6,6.27,4.53,5.75,3.75,0.57,0.23,1.04,0,0,2.99,0.59,0.37,0,0,0.04,0,0.27,0,0,0.12,0.24,0,0,0,0,0,0.03,0.23,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
2014-05,36.66,31.71,1.65,0.01,5.96,5.62,4.37,4.81,3.4,0.55,0.21,0.98,0,0,2.17,0.49,0.3,0,0,0.05,0,0.33,0,0,0.13,0.24,0,0,0,0,0,0.02,0.15,0.01,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
2014-06,35.73,33.74,1.67,0.01,5.74,5.25,4.28,4.58,3.29,0.53,0.25,0.94,0,0,2.12,0.47,0.28,0,0,0.05,0,0.29,0,0,0.13,0.26,0,0,0,0,0.04,0.02,0.16,0.01,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2014-07,36.08,34.51,1.58,0.02,6.3,4.61,3.89,4.33,3.24,0.51,0.26,0.84,0,0,1.67,0.51,0.25,0.08,0,0.22,0.01,0.28,0,0,0.13,0.27,0,0,0,0,0.05,0.01,0.12,0.01,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.1
2014-08,35.41,31.65,1.78,0.04,6.9,5.08,4.36,4.81,3.55,0.64,0.36,0.91,0,0,1.99,0.61,0.3,0.18,0,0.22,0.02,0.31,0,0,0.15,0.25,0,0,0,0,0.06,0.02,0.14,0.01,0,0.08,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.12
2014-09,37,31.66,1.84,0.04,6.68,4.46,4.16,4.66,3.44,0.63,0.39,0.87,0,0.03,1.74,0.6,0.28,0.16,0,0.18,0.02,0.33,0,0,0.15,0.24,0,0,0,0,0.05,0.02,0.12,0.01,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.1
2014-10,38.31,31.78,1.92,0.06,6.73,4.28,4.04,4.16,3.2,0.64,0.36,0.76,0,0.04,1.19,0.61,0.28,0.23,0,0.27,0.02,0.31,0,0,0.17,0.23,0,0,0,0,0.06,0.02,0.09,0.01,0,0.07,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.1
2014-11,37.12,30.47,1.96,0.07,7.25,4.66,4.58,4.68,3.14,0.68,0.51,0.78,0.01,0.07,1.22,0.65,0.31,0.33,0,0.27,0.03,0.32,0,0,0.17,0.24,0,0,0,0,0.08,0.03,0.11,0.02,0,0.08,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.1
2014-12,36.14,31.64,1.84,0.08,7.18,4.64,4.51,4.33,3.21,0.77,0.6,0.8,0.01,0.1,1.34,0.63,0.32,0.34,0,0.31,0.07,0.29,0,0,0.18,0.21,0,0,0,0,0.1,0.03,0.1,0.02,0,0.07,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.1
2015-01,33.57,30.97,2.02,0.11,7.26,4.9,5.16,4.68,3.57,0.92,0.91,0.94,0.01,0.16,1.62,0.79,0.38,0.35,0,0.29,0.13,0.29,0,0,0.2,0.19,0.01,0,0,0,0.12,0.04,0.12,0.02,0,0.09,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.11
2015-02,33.15,31.03,2.18,0.11,7.21,5.05,5.38,4.73,3.38,0.85,1.03,0.85,0.01,0.17,1.5,0.85,0.4,0.37,0,0.31,0.15,0.32,0,0,0.2,0.18,0.01,0,0,0,0.12,0.05,0.12,0.02,0,0.09,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0.11
2015-03,33.42,29.4,2.3,0.12,7.47,5.36,5.62,4.74,3.41,0.85,1.1,0.83,0.01,0.17,1.57,0.91,0.41,0.46,0,0.36,0.17,0.31,0,0,0.2,0.17,0.01,0,0,0,0.13,0.06,0.12,0.03,0,0.08,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0.12
2015-04,33.3,28.2,2.34,0.13,7.8,5.6,6.04,4.8,3.32,0.87,1.11,0.87,0.01,0.2,1.56,0.97,0.43,0.53,0,0.38,0.19,0.32,0,0,0.19,0.17,0.01,0,0,0,0.14,0.08,0.13,0.03,0,0.08,0,0,0.07,0,0,0,0,0.01,0,0,0,0,0,0.11
2015-05,33.45,28.31,2.37,0.2,8.03,5.44,6.09,4.58,3.26,0.88,1.06,0.81,0.04,0.2,1.47,0.91,0.39,0.57,0,0.38,0.18,0.31,0,0,0.17,0.16,0.02,0,0,0.06,0.14,0.07,0.16,0.03,0,0.07,0,0,0.07,0,0,0,0,0.01,0,0,0,0,0,0.11
2015-06,33.33,28.41,2.46,0.2,7.82,5.61,6.06,4.41,3.29,0.82,1.13,0.81,0.04,0.21,1.77,0.92,0.37,0.48,0,0.38,0.19,0.3,0,0,0.16,0.15,0.02,0,0,0.06,0.12,0.06,0.16,0.03,0,0.07,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0.1
2015-07,33.15,28.41,2.61,0.18,7.58,5.93,6.02,4.38,3.35,0.81,1.22,0.79,0.03,0.21,1.75,0.93,0.36,0.46,0,0.36,0.19,0.31,0,0,0.16,0.15,0.02,0,0,0.06,0.11,0.07,0.15,0.04,0,0.06,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0.1
2015-08,33.31,28.54,2.87,0.18,7.47,5.82,5.73,4.39,3.1,0.8,1.28,0.77,0.02,0.21,1.86,0.9,0.37,0.52,0,0.37,0.21,0.31,0,0,0.16,0.14,0.03,0,0,0.05,0.1,0.08,0.12,0.05,0,0.06,0,0.01,0.04,0,0,0,0,0.01,0,0,0,0,0,0.1
2015-09,34.07,27.85,3.09,0.16,7.54,5.72,5.61,4.23,3.02,0.82,1.36,0.72,0.02,0.21,1.8,0.89,0.37,0.61,0,0.38,0.23,0.33,0,0,0.16,0.14,0.04,0,0,0.04,0.11,0.09,0.11,0.05,0,0.06,0,0.02,0.04,0,0,0,0,0.01,0,0,0,0,0,0.1
2015-10,34.63,27.31,3.33,0.17,7.44,5.66,5.64,4.12,3,0.82,1.46,0.69,0.01,0.21,1.68,0.89,0.38,0.64,0,0.38,0.24,0.32,0,0,0.16,0.14,0.04,0,0,0.04,0.11,0.1,0.1,0.05,0,0.06,0,0.02,0.03,0,0,0,0,0.01,0,0,0,0,0,0.09
2015-11,34.29,28.46,3.55,0.18,7.24,5.64,5.43,3.9,2.95,0.83,1.54,0.69,0.01,0.21,1.37,0.83,0.37,0.66,0,0.37,0.24,0.3,0,0,0.16,0.14,0.05,0,0,0.04,0.1,0.09,0.09,0.06,0,0.05,0,0.02,0.03,0,0,0,0,0.01,0,0,0,0,0,0.08
2015-12,33.9,27.74,4.06,0.19,7.1,6.11,5.45,3.8,2.96,0.84,1.7,0.82,0.01,0.21,1.46,0.78,0.36,0.72,0,0.36,0.28,0.28,0,0,0.16,0.12,0.06,0,0,0.03,0.1,0.08,0.08,0.07,0,0.05,0,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0.07
2016-01,33.81,28.26,4.57,0.22,6.82,6.3,5.38,3.37,2.84,0.85,1.79,0.67,0.03,0.2,1.25,0.73,0.37,0.75,0,0.36,0.27,0.28,0,0,0.17,0.12,0.07,0,0,0.03,0.09,0.07,0.07,0.07,0,0.05,0,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0.07
2016-02,34.29,27.8,4.88,0.22,6.69,6.15,5.47,3.3,2.86,0.82,1.92,0.62,0.03,0.19,1.21,0.73,0.39,0.65,0,0.36,0.26,0.29,0,0,0.17,0.11,0.07,0,0,0.03,0.09,0.07,0.07,0.07,0,0.05,0,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0.07
2016-03,35.59,26.86,5.28,0.24,6.77,5.41,5.44,3.02,2.72,0.83,1.89,0.57,0.04,0.27,1.17,0.7,0.4,0.72,0,0.44,0.34,0.47,0,0,0.16,0.11,0.07,0,0,0.03,0.08,0.08,0.07,0.07,0,0.04,0,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0.08
2016-04,35.5,26.55,5.61,0.24,6.67,5.5,5.48,2.87,2.67,0.85,1.88,0.61,0.02,0.27,1.32,0.67,0.42,0.79,0,0.45,0.35,0.46,0,0,0.16,0.1,0.07,0,0,0.03,0.08,0.07,0.06,0.08,0,0.04,0,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0.07
2016-05,35.32,26.84,5.98,0.23,6.42,5.6,5.38,2.74,2.61,0.86,1.88,0.65,0.02,0.28,1.28,0.64,0.43,0.8,0,0.44,0.36,0.45,0,0,0.15,0.09,0.08,0,0,0.02,0.07,0.06,0.06,0.09,0,0.04,0,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0.07
2016-06,35.47,27.36,6.3,0.21,6.27,5.55,5.51,2.52,2.65,0.83,1.85,0.64,0.01,0.29,0.94,0.59,0.44,0.66,0,0.44,0.36,0.41,0,0,0.16,0.09,0.07,0,0,0.02,0.06,0.06,0.06,0.06,0,0.03,0,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0.06
