"Date","Apple","Samsung","LG","Motorola","Unknown","Huawei","Google","HTC","ZTE","Nokia","Alcatel","Xiaomi","Sony","RIM","OnePlus","Lenovo","Kyocera","Oppo","Vivo","Asus","T-Mobile","Blu","Coolpad","Lanix","Realme","HP","Honor","Micromax","Mobicel","Pantech","Tecno","Infinix","Hisense","Sumsung","TCL","RCA","Nintendo","Acer","Sharp","BlackBerry","Unimax","General Mobile","BBK","AT&T","Lava","Telcel","Other"
2014-01,52.56,20.65,4.4,3.02,4.63,1.15,0.89,3.32,0.83,2.63,0.37,0,0.52,3.81,0,0.02,0.41,0,0,0,0.01,0,0,0,0,0.1,0,0.1,0,0.28,0,0,0,0,0,0,0.13,0.05,0,0,0,0,0,0,0,0,0.11
2014-02,50.76,23.12,4.64,3.49,3.55,1.15,1.05,3.12,0.82,2.74,0.58,0.03,0.74,3.04,0,0.04,0.4,0,0,0,0.01,0,0.01,0,0,0.1,0,0.09,0,0.25,0,0,0,0,0,0,0.11,0.05,0,0,0,0.01,0,0,0,0,0.1
2014-03,50.84,23.71,4.68,3.79,3.19,1.1,1.09,2.94,0.83,3.1,0.73,0.01,0.83,2.11,0,0.03,0.37,0,0,0,0.01,0,0,0,0,0.09,0,0.09,0,0.23,0,0,0,0,0,0,0.1,0.05,0,0,0,0.02,0,0,0,0,0.09
2014-04,50.08,24.14,4.74,3.82,3.14,1.11,1.17,2.88,0.96,3.21,0.83,0.01,0.94,1.87,0,0.04,0.36,0,0,0,0.01,0,0,0,0,0.1,0,0.1,0,0.21,0,0,0,0,0,0,0.1,0.05,0,0,0,0.04,0,0,0,0,0.09
2014-05,48.68,25.29,4.9,3.86,3.14,1.12,1.2,2.85,1,3.27,0.88,0.01,0.98,1.79,0,0.04,0.35,0,0,0,0.01,0,0,0,0,0.09,0,0.11,0,0.19,0,0,0,0,0,0,0.09,0.05,0,0,0,0.04,0,0,0,0,0.08
2014-06,48.46,25.55,4.97,3.89,3.18,1.11,1.17,2.81,0.97,3.21,0.93,0,0.96,1.78,0,0.04,0.33,0,0,0,0.01,0,0,0,0,0.1,0,0.12,0,0.17,0,0,0,0,0,0,0.09,0.05,0,0,0,0.03,0,0,0,0,0.07
2014-07,48.84,25.6,4.97,3.85,3.1,1.03,1.29,2.75,0.84,3.13,0.95,0.01,0.97,1.7,0,0.05,0.31,0,0,0,0.01,0,0,0,0,0.1,0,0.13,0,0.15,0,0,0,0,0,0,0.09,0.05,0,0,0,0.02,0,0,0,0,0.07
2014-08,48.69,26.24,5.21,3.87,3.06,1,1.18,2.58,0.81,2.95,0.93,0.01,0.93,1.47,0,0.07,0.4,0,0,0,0.01,0,0,0,0,0.1,0,0.14,0,0.14,0,0,0,0,0,0,0.07,0.04,0,0,0,0.02,0,0,0,0,0.07
2014-09,50.74,25.78,5.11,3.79,2.73,0.91,1.13,2.44,0.75,2.58,0.86,0.01,0.82,1.34,0.02,0.07,0.38,0,0,0,0,0,0,0,0,0.09,0,0.13,0,0.12,0,0,0,0,0,0,0.05,0.03,0,0,0,0.02,0,0,0,0,0.06
2014-10,51.1,25.52,5.47,3.85,2.7,1.01,1.1,2.24,0.85,2.18,0.98,0.01,0.99,1.11,0.03,0.07,0.33,0,0,0,0,0,0,0,0,0.1,0,0.08,0,0.11,0,0,0,0,0,0,0.05,0.03,0,0,0,0.02,0,0,0,0,0.05
