"Date","Samsung","Motorola","Apple","LG","Huawei","Unknown","Xiaomi","Nokia","Sony","Alcatel","Lenovo","Asus","ZTE","RIM","Google","HTC","Blu","Tecno","Realme","Infinix","Vivo","Oppo","HP","Honor","OnePlus","Lanix","Positivo","Entel","BGH","Mixc","Micromax","Multilaser","Avvio","Mobicel","Archos","TCL","Acer","Bmobile","Philips","CCE","Caterpillar","Other"
2014-01,38.62,3.5,13,12.45,1.31,9.29,0,14.72,2.98,0.45,0.02,0,0.29,2.27,0.35,0.46,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.06
2014-02,39.02,5.84,12.05,11.57,1.3,8.03,0,14.5,3.8,0.45,0.03,0,0.26,2.1,0.34,0.44,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.05
2014-03,38.21,9.36,12.21,10.82,1.4,7.2,0,13.22,3.82,0.53,0.03,0,0.25,1.94,0.36,0.42,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.04
2014-04,38.31,10.46,11.67,10.85,1.48,6.92,0,12.56,3.93,0.58,0.04,0,0.25,1.84,0.37,0.48,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0.04
2014-05,40.59,13.13,14.9,9.73,1.13,5.23,0,8.71,3.69,0.44,0.04,0,0.17,1.23,0.41,0.37,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0.03
2014-06,39.19,12.04,12.15,10.04,1.51,6.33,0,10.98,4.05,0.6,0.05,0,0.25,1.72,0.37,0.44,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0.04
2014-07,40.07,12.98,11.6,10.1,1.54,5.92,0,9.94,4.2,0.8,0.08,0,0.22,1.49,0.33,0.38,0,0,0,0,0,0,0.24,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0.04
2014-08,39.22,14.02,11.57,9.96,1.54,5.87,0,10.08,4.19,0.71,0.1,0,0.23,1.45,0.35,0.34,0,0,0,0,0,0,0.23,0,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0.03,0,0,0,0,0.04
2014-09,38.87,15.44,12.03,9.93,1.63,5.21,0,9.34,4.13,0.71,0.11,0,0.23,1.37,0.38,0.28,0,0,0,0,0,0,0.2,0,0,0,0,0.04,0,0,0.02,0,0,0,0,0,0.03,0,0,0,0,0.04
2014-10,39.56,16.53,13.09,9.49,1.79,4.98,0.01,7,4.28,0.84,0.14,0,0.27,1,0.37,0.25,0,0,0,0,0,0,0.23,0,0,0,0,0.07,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0.03
2014-11,37.63,19.04,16.21,9.17,1.18,4.57,0,5.92,3.91,0.52,0.1,0.04,0.16,0.66,0.44,0.17,0,0,0,0,0,0,0.14,0,0,0,0,0.05,0,0,0.02,0,0,0,0,0,0.02,0,0,0.02,0,0.03
2014-12,37.58,18.58,13.01,9.85,1.72,4.83,0.01,6.86,4.33,0.85,0.16,0.08,0.2,0.86,0.42,0.23,0,0,0,0,0,0,0.16,0,0,0,0,0.1,0,0,0.03,0,0,0,0,0,0.02,0,0,0.09,0,0.04
2015-01,37.43,17.21,10.41,10.63,2.19,5.34,0.01,8.42,4.49,1.12,0.24,0.11,0.24,1.04,0.36,0.29,0,0,0,0,0,0,0.19,0,0.01,0,0,0.09,0,0,0.04,0,0,0,0.01,0,0.02,0,0,0.08,0,0.05
