"Date","Samsung","Apple","Unknown","Xiaomi","Huawei","Nokia","Oppo","LG","Motorola","Sony","Lenovo","HTC","Micromax","Vivo","Mobicel","Realme","Asus","Google","General Mobile","RIM","BBK","OnePlus","ZTE","Alcatel","Tecno","Infinix","Lava","Gionee","Vodafone","Itel","Turkcell","Wiko","Coolpad","Casper","Lyf","Vestel","Hisense","Spice","AIS","Meizu","bq","QMobile","LeEco","Panasonic","True","Reliance Digital","Acer","Kyocera","InFocus","Intex","Honor","Xolo","Smartfren","Blu","Archos","HP","Infinex","i-Mobile","Condor","Pantech","Avea","Karbonn","dtac","Yu","Sharp","Symphony","Lanix","T-Mobile","Other"
2014-01,27.85,23.52,13.56,0.07,0.95,18.42,0,2.99,0.89,1.97,0.36,2.28,1.78,0,0,0,0,0.44,0.01,3.12,0,0,0.39,0.36,0,0,0,0,0.08,0,0.09,0,0.02,0,0,0,0.03,0.32,0,0.01,0,0,0,0,0,0,0.07,0.1,0,0,0,0,0,0,0.02,0.05,0,0,0,0.16,0,0,0,0,0.01,0,0,0.01,0.09
2014-02,30.4,22.94,11.43,0.08,0.98,17.27,0.02,3.07,1.1,2.65,0.4,2.25,1.81,0,0,0,0,0.53,0.52,2.7,0,0,0.39,0.4,0,0,0,0,0.11,0,0.11,0,0.03,0,0,0,0.02,0.3,0,0.01,0,0,0,0,0,0,0.07,0.09,0,0,0,0,0,0,0.02,0.05,0,0,0,0.14,0.01,0,0,0,0.01,0,0,0.01,0.08
2014-03,30.57,23.57,10.85,0.06,1.03,16.37,0.04,3.14,1.39,2.93,0.44,2.2,1.89,0,0,0,0,0.56,0.49,2.58,0,0,0.4,0.46,0,0,0,0,0.1,0,0.1,0,0.02,0,0,0,0.04,0.3,0,0.01,0,0,0,0,0,0,0.07,0.09,0,0,0,0,0,0,0.02,0.04,0,0,0,0.12,0.01,0,0,0,0,0,0,0.01,0.1
2014-04,31.59,23.21,10.51,0.08,1.1,15.61,0.05,3.16,1.44,3.11,0.49,2.25,1.88,0,0,0,0,0.59,0.65,2.23,0,0,0.44,0.49,0,0,0,0,0.11,0,0.12,0.01,0.03,0,0,0,0.04,0.3,0,0.01,0,0,0,0,0,0,0.08,0.08,0,0,0,0,0,0,0.02,0.05,0,0,0,0.1,0.02,0,0,0,0,0,0,0.01,0.12
2014-05,32.79,23.21,10.3,0.08,1.17,14.44,0.05,3.38,1.76,3.18,0.51,2.19,1.84,0,0,0,0,0.61,0.56,1.96,0.01,0,0.42,0.49,0,0,0,0,0.12,0,0.1,0.01,0.03,0,0,0,0.04,0.29,0,0.01,0,0,0,0,0,0,0.09,0.08,0,0,0,0,0,0,0.03,0.05,0,0,0,0.09,0.02,0,0,0,0,0,0,0,0.12
2014-06,32.6,24.25,10.31,0.08,1.28,13.34,0.06,3.36,1.63,3.19,0.56,2.26,1.92,0,0,0,0,0.62,0.57,1.94,0.01,0,0.43,0.52,0,0,0,0,0.11,0,0.09,0.01,0.04,0,0,0,0.05,0.28,0,0.01,0,0,0,0,0,0,0.1,0.08,0,0,0,0,0,0,0.03,0.05,0,0,0,0.08,0.02,0,0,0,0,0,0,0,0.13
2014-07,32.55,24.87,10.04,0.14,1.29,12.64,0.07,3.4,1.76,3.47,0.55,2.27,1.96,0,0,0,0.03,0.67,0.48,1.73,0.01,0,0.38,0.54,0,0,0.05,0,0.11,0,0.07,0.06,0.04,0,0,0,0.04,0.27,0,0.01,0.02,0,0,0,0,0,0.1,0.07,0,0,0,0,0,0,0.03,0.06,0,0,0,0.07,0.02,0,0,0,0.01,0,0,0,0.14
2014-08,32.77,23.55,10.33,0.19,1.3,12.54,0.11,3.49,1.88,3.47,0.62,2.31,2.16,0,0,0,0.11,0.64,0.61,1.66,0.01,0,0.41,0.54,0,0,0.06,0,0.11,0,0.11,0.05,0.05,0,0,0,0.07,0.31,0,0.01,0.03,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0.03,0.06,0,0,0,0.07,0.03,0,0,0,0.01,0,0,0.01,0.14
2014-09,33.13,24.72,9.13,0.22,1.33,11.97,0.14,3.55,2.01,3.42,0.64,2.3,2.13,0,0,0,0.14,0.64,0.63,1.64,0.01,0.01,0.41,0.52,0,0,0.06,0,0.12,0,0.14,0.04,0.05,0,0,0,0.07,0.3,0,0.01,0.03,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0.03,0.06,0,0,0,0.06,0.03,0,0,0,0.01,0,0,0.01,0.12
2014-10,33.68,25.96,8.47,0.28,1.44,10.3,0.13,3.8,2.29,3.62,0.61,2.26,1.91,0,0,0,0.16,0.63,0.69,1.34,0.02,0.02,0.46,0.57,0,0,0.06,0,0.14,0,0.18,0.07,0.04,0.01,0,0,0.06,0.25,0,0.02,0.06,0,0,0,0,0,0.09,0.08,0,0,0,0,0,0,0.05,0.07,0,0,0,0.05,0.03,0,0,0,0,0,0,0,0.12
